42.3631 -71.065, all phase plumbing
60.5401 -149.152, alaska aquafarms inc
60.5401 -149.152, a ursus enterprises
60.5179 -149.487, wrong mountain farm
58.8871 -156.991, a little house bed & brkfst
58.7451 -156.945, adams enterprises
58.8871 -156.991, al-lou's bed & breakfast
58.8871 -156.991, alaska general seafoods
58.8871 -156.991, alaska ventures
58.8871 -156.991, alcoholics anonymous
58.8871 -156.991, charles allen
60.8431 -161.637, anna tobeluk memorial primary
58.8871 -156.991, apple haus bed & breakfast
60.8431 -161.637, avcp
60.6661 -161.761, avcp family svc specialist
60.8431 -161.637, avcp icwa program
60.9301 -161.163, avcp social svc icwa
60.9301 -161.163, ayaprun elementary school
60.9301 -161.163, ayaprun high school
58.8871 -156.991, bay broadcasting
58.7211 -156.808, bay marine surveyors
58.8871 -156.991, baywatch seafoods
58.7281 -157.017, borough landfill
58.8871 -156.991, boys & girls club katmai
58.8871 -156.991, bradford appliance & lumber
58.7281 -157.017, bristol barge svc
58.8871 -156.991, bristol bay borough
58.7301 -157.008, bristol bay borough-pool
58.8871 -156.991, bristol bay cargo bldg
58.7301 -157.008, bristol bay school supt
58.8871 -156.991, bristol bay supply
58.7281 -157.017, bristol bay welding
58.8871 -156.991, brycee-b's hair & gifts
61.5817 -149.438, integra insurance svc
61.5886 -149.357, internal medicine assoc
61.1041 -147.111, alaska state court system
61.1041 -147.111, bread n butter charters
60.7741 -148.69, china sea restaurant
61.1041 -147.111, clearwater environmental inc
60.7721 -148.684, country store
61.1041 -147.111, custom marine
60.7751 -148.673, dojer ltd
60.7741 -148.686, great pacific seafoods
61.1041 -147.111, hobo bay trading
61.1041 -147.111, honey charters
60.7724 -148.686, june's whittier bed & brkfst
61.1041 -147.111, l & c marine hardware
60.7741 -148.69, lazy otter charters inc
61.1041 -147.111, lester c lunceford management
61.1041 -147.111, long's marine svc
61.1041 -147.111, marine highway dept
61.1041 -147.111, shoreside petroleum
61.1041 -147.111, sound eco adventures
61.1041 -147.111, sound ideas gallery & gifts
61.1041 -147.111, sportsman's inn
61.1041 -147.111, swiftwater seafood cafe
61.1041 -147.111, us army maintenance shop
61.1041 -147.111, veco corp
61.1041 -147.111, whittier baptist church
61.1041 -147.111, whittier city manager
60.7724 -148.686, whittier city offices
60.7721 -148.685, whittier finance dept
60.7761 -148.685, whittier harbor master
60.7721 -148.684, whittier health clinic
61.1041 -147.111, whittier maintenance shop
61.1041 -147.111, whittier manor condo
60.7724 -148.686, whittier police dept
61.1041 -147.111, whittier school
61.1041 -147.111, whittier self storage
61.1435 -149.851, grizzly machine & fabrication
61.1914 -149.886, groh eggers
61.1719 -149.908, ground effects landscaping
61.2197 -149.734, ground up customs
61.2161 -149.876, grout armor of alaska
61.1901 -149.892, grout doctor
61.1985 -149.884, growth co
61.1824 -149.839, gregory grubba dds
61.2201 -149.866, grubstake auction co
61.2142 -149.898, gruenberg clover & holland
61.2174 -149.904, gruenstein & hickey
61.1464 -149.871, grunder co
61.1974 -149.886, grundhauser & moore
61.1901 -149.892, gss
61.145 -149.855, gts interior supply
61.1968 -149.869, guardian security systems inc
61.1796 -149.89, guardsmark inc
61.1161 -149.866, glenn a guernsey
61.1948 -149.78, judith guertin
61.2173 -149.904, guess & rudd
61.2161 -149.876, guess for state senate
61.2161 -149.876, guidant corp
61.2031 -149.749, guide to the goldfields
61.1734 -149.839, guiding light tabernacle
61.1571 -149.883, guido's
61.2168 -149.864, guild mortgage co
61.2124 -149.891, guild mortgage co
61.1959 -149.886, guild mortgage co
61.2085 -149.869, guitar center
61.1901 -149.892, guitar lessons by eddie
61.1688 -149.869, guitar shop
61.1921 -149.859, gulf coast construction
61.1901 -149.892, gulf of ak coastal communities
61.1831 -149.884, gulf of alaska coastal communi
61.1955 -149.872, gun runners
61.2176 -149.734, gun traders
61.1521 -149.919, m and m electric
61.1521 -149.919, power assurance
61.1681 -149.835, antler painting & decorating
61.1681 -149.835, generations paint & drywall
61.1681 -149.835, castle painting inc
61.1681 -149.835, k b s contracting
61.1681 -149.835, gutierrez moises
61.1681 -149.835, laker electric inc
61.1681 -149.835, alaska stucco
61.1681 -149.835, arctic electric inc
61.1681 -149.835, a v m inc
61.1681 -149.835, crl services llc
61.1681 -149.835, richards masonry
61.1681 -149.835, alaska roofing contrs assoc
61.1681 -149.835, wesco products inc
61.1681 -149.835, frank pierce
61.1681 -149.835, g m g general inc
61.1681 -149.835, alaska concrete services inc
61.1681 -149.835, g m c contracting inc
61.1681 -149.835, premier earthwork
61.1681 -149.835, sanders & sanders excavation
61.1681 -149.835, blue ice graphics
61.1681 -149.835, cook inlet copy
61.1681 -149.835, marwest embroidery
61.1681 -149.835, northwest cedar structures
61.1681 -149.835, petroleum news
61.1681 -149.835, thermo-kool of alaska inc
61.1681 -149.835, motes arts
61.1681 -149.835, business furniture of alaska
61.1681 -149.835, northern lawn & ldscpg svcs
61.1681 -149.835, hillside lawn and snow inc
61.1681 -149.835, t & l services
61.1681 -149.835, alascape landscape
61.1681 -149.835, alaska automated sprinklers
61.1681 -149.835, steelhead custom landscaping
64.8281 -147.812, johnson controls
64.8371 -147.716, woodcraft unlimited
64.8371 -147.716, fish on fly
64.8371 -147.716, laughing husky enterprises
64.8371 -147.716, lifewater engineering co
64.8371 -147.716, northern drilling inc
64.8371 -147.716, swan drilling company inc
64.8371 -147.716, polar glass
64.8371 -147.716, klondike foam and fireproofing
64.8371 -147.716, art studio
64.8371 -147.716, big iron equipment svc
64.8371 -147.716, dog daze
64.8371 -147.716, viking
64.8371 -147.716, yeti enterprises
64.8371 -147.716, alaska accent const inc
64.8371 -147.716, kc mining co
64.8371 -147.716, 3-2-1 construction
64.8371 -147.716, cunningham construction
64.8371 -147.716, ness built remodelers
64.8371 -147.716, exclusive landscaping and pav
64.8371 -147.716, rcon inc
64.8371 -147.716, j & d striping
64.8371 -147.716, valley construction inc
64.8371 -147.716, alaska overhead garage door
64.8371 -147.716, northern foam & coating
64.8371 -147.716, lloyds tile & marble
64.8371 -147.716, hansens carpet service
64.8371 -147.716, arctic drilling
64.8371 -147.716, green concrete pumps
64.8371 -147.716, dallmann bros construction
64.8371 -147.716, ways service & repair inc
64.8371 -147.716, b and w dragline svc
64.8371 -147.716, cowlthorp draglines inc
58.7301 -156.997, c & c heating
60.8431 -161.637, c & j's
58.8871 -156.991, camai dental clinic
58.7301 -157.008, camai medical ctr
58.8871 -156.991, captain's cabins
58.7271 -157.013, chulyen roost
58.8871 -156.991, church of jesus christ of lds
60.6661 -161.761, city of napakiak
60.8431 -161.637, city of nunapitchuk
60.8431 -161.637, city of nunapitchuk police
58.8871 -156.991, coastal surveyors
58.8871 -156.991, commercial marine svc
60.9301 -161.163, community liason
58.8871 -156.991, crowley marine svc
58.8871 -156.991, d & d restaurant
58.8871 -156.991, da kine
58.8871 -156.991, delta western fuels
58.8871 -156.991, dock/harbor master's office
60.9301 -161.163, electric facility
60.8431 -161.637, eliza maxie hertz memorial
58.8871 -156.991, fast betty's fabrication
58.8871 -156.991, gospel aviation hangar
58.8871 -156.991, hadfield's bar & liquor store
58.8871 -156.991, harris electric
58.7281 -157.017, heart of the shire
58.8871 -156.991, impresa publishing
58.8871 -156.991, jasons creations & fine wdwrkg
58.8871 -156.991, jodie's ideas
58.7281 -157.017, joe's liquor store inc
58.8871 -156.991, johnson diesel
60.6661 -161.761, jungs trading post
58.8871 -156.991, katmai boys & girls club
58.7341 -157.021, king flying svc
58.8871 -156.991, labor & workforce dept
58.8871 -156.991, leader creek fireworks
58.8871 -156.991, leader creek inn
58.8871 -156.991, magistrate office
58.8871 -156.991, martin monsen regional library
60.6661 -161.761, miller memorial school
56.4501 -132.425, a a mini storage
56.4871 -132.384, alasco towing
56.4501 -132.425, alaska adventures
56.4671 -132.381, alaska charters & adventures
56.4658 -132.375, alaska housing finance corp
56.4686 -132.38, alaska marine lines
56.4611 -132.377, alaska peak & seas
56.4719 -132.386, alaska power & telephone
56.4501 -132.425, alaska timber wolf
56.4131 -132.339, alaska tugboat tours
56.4501 -132.425, alaska vistas
56.4718 -132.388, alaska waters inc
56.4821 -132.373, alaskan homes co
56.4501 -132.425, alcoholics anonymous
56.4635 -132.375, alpine mini mart
56.4711 -132.376, american legion
56.4719 -132.386, angerman's inc
56.4751 -132.387, angerman's special-tee's
56.4624 -132.377, ann's gardens
56.4718 -132.376, avenues
56.4701 -132.381, bay co
56.4686 -132.378, bible baptist church
56.4069 -132.335, bliss design
56.4707 -132.384, bob's iga
56.4711 -132.384, boyer alaska barge lines
56.4611 -132.377, breakaway adventures
56.4653 -132.386, breakwater seafoods
56.472 -132.386, buness brothers inc
56.4731 -132.383, c & c diesel svc
56.4713 -132.382, c f james inc
56.4501 -132.425, campbell towing co
56.4611 -132.377, church of jesus christ of lds
56.4702 -132.381, city market
56.4501 -132.425, coastal island charters
56.4501 -132.425, d j enterprises
56.4742 -132.38, dave's welding
61.1355 -149.878, gunderboom inc
61.1983 -149.956, gunderson equipment ltd
61.1652 -149.949, gus' electronic marine co
61.1869 -149.753, guzy supply
61.2013 -149.896, gwec inc
61.1817 -149.933, gwennies old alaska restaurant
61.2174 -149.888, gymboree
61.2036 -149.754, h & h contracting svc
61.2161 -149.876, h & h fencing
61.1913 -149.722, h & h finishing
61.1618 -149.895, h & k sheetmetal fabricators
61.2201 -149.725, h & l trucking
61.1561 -149.811, h & l windows
61.2096 -149.919, h & m court reporting
61.2161 -149.876, h & m designs
61.1521 -149.919, h & m plumbing & heating
61.1128 -149.864, h & r block tax svc
61.2157 -149.821, h & r block tax svc
61.1884 -149.898, h & r block tax svc
61.1372 -149.954, h & r block tax svc
61.1951 -149.871, h & r block tax svc
61.1955 -149.737, h & r block tax svc
61.1372 -149.835, h & r block tax svc
61.121 -149.854, h 2 oasis indoor waterpark
61.16 -149.873, h a boucher & assoc
61.1962 -149.866, h b systems
61.1955 -149.888, h c price construction co
61.2139 -149.908, h frank cahill law office
61.1991 -149.905, h j gellert & assoc
61.2133 -149.913, h lee pederson & assoc
61.098 -149.815, h p carpet svc
61.1811 -149.89, h w publishers
61.1272 -149.868, h watt & scott inc
61.1681 -149.835, bird treatment & learning ctr
61.1681 -149.835, harthven pet crmtion brial svc
61.1681 -149.835, a i c
61.1681 -149.835, seal it quality asphalt
61.1681 -149.835, willodell enterprises inc
61.1681 -149.835, faulkner walsh constructors
61.1681 -149.835, jourdian construction
61.1681 -149.835, pacific rehab construction
61.1681 -149.835, paddock t o construction & ri
61.1681 -149.835, frawner corp
61.1681 -149.835, sse construction inc
61.2171 -149.9, henrys services inc
61.2171 -149.9, shaman traffic control
61.2171 -149.9, davids fire protection inc
61.2171 -149.9, control craft inc
61.2171 -149.9, alaska butcher equipment & sup
61.2171 -149.9, instant imprints
61.2171 -149.9, alaska building structures
61.2171 -149.9, cornerstone general contractor
61.2171 -149.9, bld enterprise inc
61.2171 -149.9, bridge builders of anchorage
61.2171 -149.9, sockeye asphalt maint llc
61.2171 -149.9, ridge contracting inc
61.2171 -149.9, northern knowledge
61.2171 -149.9, amsi/vallee co inc
61.2171 -149.9, d and l outfitter
61.2171 -149.9, coady s g b
61.2171 -149.9, a1 snow clouding and removal
61.2171 -149.9, anchorage press newspaper
61.2171 -149.9, rainbow digitizing
61.1991 -149.731, northern reinforcing placers
61.1991 -149.731, deck pro
61.1991 -149.731, alaskakrafts inc
61.1991 -149.731, alaska lawn & ldscp maint inc
64.8371 -147.716, l-3 communications corporation
64.8235 -147.79, g company
64.8154 -147.779, royal contractors inc
64.8411 -147.79, robert & mona dunn
64.842 -147.824, david worel
64.8583 -147.778, portwine plumbing and heating
64.8939 -147.735, alaska steamjetters
64.8388 -147.796, bloom enterprises inc
64.8125 -147.789, denali steel erection/great nw
64.8352 -147.789, alaska development services
64.8457 -147.791, lens unlimited the
64.8921 -147.705, toms woodshop
64.8764 -147.658, harrison & son signs
64.9294 -147.544, dukes ron & company
64.9326 -147.582, snow-hydro
64.897 -147.602, websters flying service
64.9327 -147.551, alaska renewable energy
64.8961 -147.565, electrical services co
64.8948 -147.458, h & h electric
64.9084 -147.688, mcconnells concrete finishing
64.9401 -147.402, alyeska roofing & construction
64.8853 -147.593, northern power systems inc
64.9491 -147.639, neck of woods
64.8723 -147.653, logan ricketts
64.9102 -147.647, d & d enterprises
64.8803 -147.437, j c m enterprises
64.8775 -147.002, quality excavating
64.9188 -147.666, wildwood enterprises
64.8967 -147.567, fabian enterprises
64.9035 -147.623, vs construction
64.8733 -147.661, eureka builders inc
58.7381 -156.977, monsen transfer fuel delivery
58.8871 -156.991, nacho mama's
58.7361 -157.022, nakek auto & marine
58.8871 -156.991, naknek anglers
58.8871 -156.991, naknek community bible chapel
58.7301 -157.008, naknek electric assn
58.8871 -156.991, naknek engine sales & svc
58.8871 -156.991, naknek health aide
58.7331 -157.02, naknek lutheran church
58.8871 -156.991, naknek marine ctr
58.8871 -156.991, naknek riverine lodge
58.7301 -157.008, naknek school
58.7281 -157.017, naknek trading co
58.8871 -156.991, naknek trading-hardware store
58.8871 -156.991, naknek village council
58.8871 -156.991, naknek village icwa
58.7361 -157.022, napa-naknek auto & marine
60.6661 -161.761, napakiak clinic
60.6661 -161.761, napakiak corp office
60.6661 -161.761, napakiak native bingo office
60.9301 -161.163, napaskiak city office
60.9301 -161.163, napaskiak inc
60.9301 -161.163, napaskiak inc village store
60.6661 -161.761, napaskiak ira council
60.9301 -161.163, napaskiak police dept
60.9301 -161.163, napaskiak school
60.9301 -161.163, napaskiak traditional council
60.9301 -161.163, napaskiak tribal council
60.9301 -161.163, napaskiak utilities
60.9301 -161.163, napaskiak village health clnc
60.8431 -161.637, native village of nunapitchuk
58.7431 -156.952, nc power systems co
60.9301 -161.163, newtok clinic
60.9301 -161.163, newtok corp
60.9301 -161.163, newtok traditional council
60.9301 -161.163, newtok tribal court
56.4641 -132.384, delta western
56.4713 -132.384, diamond c
56.4501 -132.425, district court
56.4718 -132.388, dockside restaurant
56.4716 -132.385, elks lodge
56.4501 -132.425, etolin bus co
56.4725 -132.375, evergreen elementary
56.4713 -132.384, family service div
56.4715 -132.386, fennimore service ctr
56.475 -132.389, fennimore's trading post
56.471 -132.384, first bank
56.4713 -132.384, fish & game dept
56.4681 -132.38, fish & wildlife protection
